Date,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,January,February,March,April,May,June,July,August,September,October,November,December,2013,2014,2015,Calamari,Fish,Shrimp,Chicken,Koefte,Lamb,Steak,Total Fish Production,Total Meat Production,Total,Wind,Cloudiness,Precipitation,Sun,Air Temperature,Is Holiday,Weekend,Is Weekday
2013-10-04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,6,12,40,23,50,36,24,149,173,1.916666667,7.666666667,0.1,150,15.85833333,0,0,1
2013-10-05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,8,5,44,36,37,30,21,147,168,2.738461538,6.923076923,10.7,0,13.19230769,0,1,0
2013-10-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,5,11,19,12,22,16,22,69,91,1.364285714,8.0,0.4,0,10.57142857,0,1,0
2013-10-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,4,2,28,13,28,22,10,91,101,2.316666667,6.416666667,0.0,176,13.33333333,0,0,1
2013-10-08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,4,9,22,18,29,29,20,98,118,1.658333333,8.0,0.0,0,13.54166667,0,0,1
2013-10-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,4,11,33,23,23,37,22,116,138,2.083333333,7.666666667,0.0,17,14.025,0,0,1
2013-10-10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,7,3,39,27,31,22,13,119,132,2.983333333,6.75,4.3,0,7.058333333,0,0,1
2013-10-11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,3,10,35,18,38,37,18,128,146,1.641666667,5.583333333,1.3,70,7.225,0,0,1
2013-10-12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,13,10,71,46,45,35,28,197,225,1.461538462,7.153846154,0.3,85,4.992307692,0,1,0
2013-10-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,7,32,12,29,18,8,91,99,2.057142857,4.285714286,0.0,244,9.357142857,0,1,0
2013-10-14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,3,5,20,18,26,19,10,83,93,3.008333333,7.666666667,0.8,68,13.425,0,0,1
2013-10-15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,4,8,17,13,17,17,14,64,78,2.541666667,5.416666667,22.1,0,10.55833333,0,0,1
2013-10-16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,2,7,37,21,31,30,17,119,136,2.608333333,7.083333333,0.0,86,10.89166667,0,0,1
2013-10-17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,5,9,45,31,44,27,20,147,167,4.408333333,6.0,0.0,216,14.4,0,0,1
2013-10-18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,12,12,47,32,52,40,31,171,202,1.725,2.916666667,0.0,252,13.35833333,0,0,1
2013-10-19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10,5,11,49,32,45,54,26,180,206,3.607692308,3.461538462,0.0,474,17.81538462,0,1,0
2013-10-20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,2,5,24,9,22,18,13,73,86,2.214285714,6.214285714,4.9,6,14.92857143,0,1,0
2013-10-21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,4,6,31,18,28,22,15,99,114,2.091666667,6.916666667,0.0,89,16.775,0,0,1
2013-10-22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,11,14,40,15,57,39,28,151,179,3.283333333,3.833333333,0.0,221,19.35,0,0,1
2013-10-23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,9,14,40,24,25,28,28,117,145,3.291666667,7.583333333,1.3,0,15.60833333,0,0,1
2013-10-24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,6,11,35,23,41,41,23,140,163,1.941666667,1.083333333,0.0,381,16.175,0,0,1
2013-10-25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,5,15,44,22,44,50,25,160,185,2.891666667,5.416666667,0.0,121,16.54166667,0,0,1
2013-10-26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,8,16,38,26,39,50,28,153,181,2.807692308,3.923076923,0.0,352,19.94615385,0,1,0
2013-10-27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,5,10,30,17,28,31,23,106,129,5.542857143,5.785714286,4.8,326,15.71428571,0,1,0
2013-10-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,7,2,25,19,29,28,14,101,115,5.533333333,7.0,0.0,132,18.75833333,0,0,1
2013-10-29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,6,15,31,25,23,28,26,107,133,3.308333333,3.916666667,0.0,232,12.20833333,0,0,1
2013-10-30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,10,9,33,21,34,50,23,138,161,2.016666667,1.5,0.0,333,9.525,0,0,1
2013-10-31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,7,16,44,18,50,40,27,152,179,1.491666667,0.0,0.0,411,9.741666667,0,0,1
2013-11-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,1,2,0,4,5,7,12,2.583333333,7.666666667,0.0,0,8.525,1,0,0
2013-11-02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,25,14,23,78,71,63,59,62,271,333,4.369230769,7.076923077,0.0,60,15.13076923,0,1,0
2013-11-03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,4,6,32,19,40,26,13,117,130,4.835714286,3.0,0.0,258,8.971428571,0,1,0
2013-11-04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,7,24,21,22,24,10,91,101,5.133333333,7.583333333,0.1,19,11.425,0,0,1
2013-11-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,7,8,39,21,31,17,17,108,125,3.533333333,4.416666667,0.3,314,8.233333333,0,0,1
2013-11-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,7,12,38,21,27,24,26,110,136,2.833333333,7.75,1.1,0,11.64166667,0,0,1
2013-11-07,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,5,8,38,24,36,43,18,141,159,3.975,6.833333333,0.0,82,15.41666667,0,0,1
2013-11-08,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,3,16,43,21,37,23,26,124,150,2.225,7.916666667,3.8,0,13.275,0,0,1
2013-11-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,12,27,67,35,70,59,47,231,278,3.692307692,3.230769231,0.0,151,8.623076923,0,1,0
2013-11-10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,4,13,22,13,13,24,23,72,95,3.878571429,7.714285714,16.2,0,4.792857143,0,1,0
2013-11-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,10,4,22,15,30,19,17,86,103,1.491666667,5.25,0.0,19,5.308333333,0,0,1
2013-11-12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,5,10,29,18,29,30,17,106,123,2.316666667,2.75,0.0,244,4.0,0,0,1
2013-11-13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,7,10,36,22,20,27,21,105,126,1.375,8.0,0.0,0,4.866666667,0,0,1
2013-11-14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,4,5,29,20,41,26,12,116,128,2.666666667,7.75,0.4,0,4.475,0,0,1
2013-11-15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,7,19,36,22,48,36,33,142,175,3.758333333,7.666666667,0.0,0,4.191666667,0,0,1
2013-11-16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,10,13,57,43,57,44,27,201,228,2.861538462,8.0,0.0,0,5.423076923,0,1,0
2013-11-17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,12,24,22,16,22,14,84,98,1.9,8.0,0.0,0,5.907142857,0,1,0
2013-11-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,5,7,30,30,26,18,16,104,120,1.225,0.083333333,0.0,367,7.1,0,0,1
2013-11-19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,6,10,25,21,22,21,20,89,109,2.541666667,7.75,3.9,0,3.191666667,0,0,1
2013-11-20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,3,16,33,21,24,18,24,96,120,2.8,7.916666667,1.8,0,3.725,0,0,1
2013-11-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,5,15,52,20,31,33,27,136,163,2.2,8.0,0.0,0,3.316666667,0,0,1
2013-11-22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,6,14,42,25,36,27,24,130,154,2.75,8.0,1.6,0,4.025,0,0,1
2013-11-23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,9,14,54,44,48,48,29,194,223,3.892307692,8.0,0.0,0,5.292307692,0,1,0
2013-11-24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,7,8,37,21,24,29,19,111,130,3.871428571,8.0,0.1,7,4.7,0,1,0
2013-11-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,8,6,27,22,21,26,18,96,114,2.441666667,3.583333333,0.7,314,1.225,0,0,1
2013-11-26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,5,5,38,32,33,19,14,122,136,3.05,5.5,0.0,125,-0.283333333,0,0,1
2013-11-27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,5,11,30,18,33,30,17,111,128,1.525,1.916666667,0.0,288,-1.858333333,0,0,1
2013-11-28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,7,11,33,21,33,26,22,113,135,1.058333333,7.75,0.4,0,0.341666667,0,0,1
2013-11-29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5,11,9,35,31,34,27,25,127,152,3.358333333,7.916666667,0.0,0,4.416666667,0,0,1
2013-11-30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,13,7,11,46,27,50,47,31,170,201,2.353846154,7.461538462,0.0,116,3.892307692,0,1,0
2013-12-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,7,19,8,16,15,11,58,69,1.385714286,7.285714286,0.0,50,3.471428571,0,1,0
2013-12-02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,11,4,26,14,14,13,19,67,86,4.725,1.833333333,0.0,293,4.366666667,0,0,1
2013-12-03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,5,15,23,21,28,30,23,102,125,1.808333333,0.416666667,0.0,348,0.558333333,0,0,1
2013-12-04,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,7,13,24,18,24,22,22,88,110,3.291666667,7.916666667,0.0,20,2.6,0,0,1
2013-12-05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,4,9,35,11,25,24,20,95,115,4.808333333,6.416666667,0.0,173,6.55,0,0,1
2013-12-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,5,15,42,29,35,26,29,132,161,8.508333333,7.083333333,0.9,85,2.533333333,0,0,1
2013-12-07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,11,28,57,48,50,55,50,210,260,3.530769231,7.846153846,0.7,0,3.9,0,1,0
2013-12-08,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,11,5,27,16,29,21,20,93,113,3.135714286,7.785714286,0.0,6,6.128571429,0,1,0
2013-12-09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,8,21,14,31,24,14,90,104,2.391666667,2.333333333,0.0,246,7.2,0,0,1
2013-12-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,10,11,24,14,28,22,26,88,114,1.516666667,0.0,0.0,362,6.091666667,0,0,1
2013-12-11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,10,12,29,13,35,20,26,97,123,1.683333333,1.916666667,0.0,358,3.741666667,0,0,1
2013-12-12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,9,21,30,27,23,15,101,116,1.116666667,8.0,0.0,0,-0.666666667,0,0,1
2013-12-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,8,10,28,18,36,26,23,108,131,1.475,5.833333333,0.0,299,-0.141666667,0,0,1
2013-12-14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,16,12,58,44,40,38,34,180,214,1.869230769,7.0,2.2,0,2.653846154,0,1,0
2013-12-15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,6,10,11,18,13,10,52,62,2.407142857,4.642857143,0.0,143,3.771428571,0,1,0
2013-12-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,32,14,20,30,6,96,102,3.841666667,0.916666667,0.0,349,6.825,0,0,1
2013-12-17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,5,9,31,24,28,33,18,116,134,2.625,0.166666667,0.0,377,5.95,0,0,1
2013-12-18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,11,12,28,24,25,18,24,95,119,3.675,7.416666667,0.0,38,5.641666667,0,0,1
2013-12-19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,3,15,43,11,34,30,25,118,143,3.625,7.333333333,0.2,0,8.808333333,0,0,1
2013-12-20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,4,11,32,38,57,30,22,157,179,2.775,4.25,0.0,0,6.0,0,0,1
2013-12-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,7,12,42,25,29,37,22,133,155,3.515384615,5.615384615,0.0,192,3.369230769,0,1,0
2013-12-22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4,10,17,5,13,25,18,60,78,3.614285714,6.785714286,0.4,44,10.25714286,0,1,0
2013-12-23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,6,11,42,42,46,53,23,183,206,3.166666667,3.5,0.0,258,9.691666667,0,0,1
2013-12-24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,3,4,7,5,5,19,24,3.85,6.5,0.0,152,11.8,0,0,1
2013-12-26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,3,12,2,16,18,7,48,55,4.7,7.75,8.1,0,4.966666667,1,0,0
2013-12-27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,5,12,54,34,44,44,28,176,204,4.35,2.083333333,0.0,348,6.066666667,0,0,1
2013-12-28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,5,17,52,31,40,40,29,163,192,3.169230769,5.307692308,4.5,0,7.169230769,0,1,0
2013-12-29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,5,4,27,10,18,19,15,74,89,3.385714286,6.071428571,0.3,138,5.1,0,1,0
2013-12-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,7,16,62,38,48,42,31,190,221,3.383333333,0.833333333,0.0,378,2.9,0,0,1
2013-12-31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,1,11,5,9,8,6,33,39,3.183333333,2.0,0.0,365,3.083333333,0,0,1
2014-01-01,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,21,13,13,10,5,57,62,4.625,4.5,0.0,265,6.0,1,0,0
2014-01-02,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6,16,45,30,37,35,29,147,176,4.291666667,5.166666667,0.2,25,7.366666667,0,0,1
2014-01-03,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,9,11,46,33,46,35,28,160,188,3.841666667,6.75,0.3,26,8.425,0,0,1
2014-01-04,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,10,45,26,26,43,20,140,160,2.061538462,6.0,1.4,0,7.046153846,0,1,0
2014-01-05,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,7,26,27,34,20,14,107,121,3.057142857,4.857142857,0.0,68,5.221428571,0,1,0
2014-01-06,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,5,25,19,38,32,10,114,124,3.825,7.0,0.0,71,8.375,1,0,0
2014-01-07,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,7,31,19,16,19,17,85,102,2.683333333,6.416666667,0.0,99,11.89166667,0,0,1
2014-01-08,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,9,26,16,23,21,20,86,106,2.733333333,4.083333333,0.0,207,12.19166667,0,0,1
2014-01-09,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,4,7,31,21,34,27,16,113,129,4.75,6.833333333,1.7,150,13.06666667,0,0,1
2014-01-10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,3,9,37,27,34,24,24,122,146,3.008333333,2.416666667,0.0,219,6.525,0,0,1
2014-01-11,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,7,18,55,52,57,43,36,207,243,2.853846154,7.538461538,1.5,0,4.784615385,0,1,0
2014-01-12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,10,28,14,12,13,13,67,80,1.264285714,4.928571429,0.0,142,1.978571429,0,1,0
2014-01-13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,13,26,15,25,17,20,83,103,1.758333333,7.5,5.0,34,5.925,0,0,1
2014-01-14,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,3,10,39,17,28,27,24,111,135,1.591666667,7.5,1.5,0,4.966666667,0,0,1
2014-01-15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,5,5,37,25,43,29,19,134,153,3.058333333,6.0,0.0,283,5.208333333,0,0,1
2014-01-16,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,12,24,24,36,30,25,114,139,3.55,5.666666667,2.6,0,7.35,0,0,1
2014-01-17,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9,11,36,19,39,29,29,123,152,3.133333333,3.0,0.0,151,6.316666667,0,0,1
2014-01-18,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,11,16,61,58,66,42,37,227,264,2.307692308,5.846153846,0.0,146,3.015384615,0,1,0
2014-01-19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,4,30,10,30,12,10,82,92,1.814285714,6.357142857,0.0,50,2.628571429,0,1,0
2014-01-20,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,20,16,22,14,4,72,76,2.2,7.916666667,0.0,0,3.35,0,0,1
2014-01-21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,8,29,19,19,19,17,86,103,2.133333333,7.833333333,5.2,0,3.633333333,0,0,1
2014-01-22,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,10,11,35,23,45,23,29,126,155,1.158333333,8.0,0.0,0,4.191666667,0,0,1
2014-01-23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5,10,26,17,15,23,21,81,102,2.016666667,7.916666667,1.0,0,3.708333333,0,0,1
2014-01-24,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,8,8,27,19,21,21,22,88,110,3.675,7.75,1.3,0,1.95,0,0,1
2014-01-25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4,10,51,33,64,48,21,196,217,1.853846154,7.846153846,0.0,3,2.830769231,0,1,0
2014-01-26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,7,32,13,24,32,17,101,118,5.407142857,6.214285714,0.0,126,4.457142857,0,1,0
2014-01-27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,3,14,10,14,11,9,49,58,3.158333333,4.583333333,1.2,130,2.608333333,0,0,1
2014-01-28,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,30,17,31,16,8,94,102,3.316666667,1.333333333,0.0,405,3.541666667,0,0,1
2014-01-29,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,4,12,31,18,29,22,40,100,140,5.233333333,6.083333333,0.0,18,-0.083333333,0,0,1
2014-01-30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,11,16,33,23,36,29,35,121,156,2.416666667,6.416666667,0.0,150,0.966666667,0,0,1
2014-01-31,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,14,30,20,27,27,24,104,128,1.791666667,2.666666667,0.0,282,1.625,0,0,1
2014-02-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,10,16,45,44,67,48,32,204,236,1.976923077,6.384615385,0.3,197,6.707692308,0,1,0
2014-02-02,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12,17,11,23,24,13,75,88,1.928571429,7.071428571,0.4,1,3.95,0,1,0
2014-02-03,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,8,16,11,16,16,12,59,71,3.883333333,7.75,0.0,1,2.641666667,0,0,1
2014-02-04,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,12,24,20,27,27,19,98,117,2.091666667,6.25,0.0,0,5.608333333,0,0,1
2014-02-05,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,11,26,28,35,22,15,111,126,2.966666667,6.333333333,0.1,11,4.575,0,0,1
